eom,ic_spearman,long_ret,short_ret,qspread,net_qspread,turnover,n_long,n_short,n_universe
2013-02-28,0.013296324248001267,0.0449312480323741,0.05371115326834532,-0.00877990523597122,-0.0098590419266187,0.539568345323741,278,278,2789
2013-03-31,0.07949388678509743,0.01320848452857143,-0.007274097571428574,0.020482582100000004,0.019375439242857145,0.5535714285714286,280,280,2800
2013-04-30,0.10424376181461364,0.04989724836785714,0.0311940706025,0.01870317776535714,0.017392463479642854,0.6553571428571429,280,280,2800
2013-05-31,0.04225516169507273,0.010052287534519574,0.004485362366903915,0.0055669251676156595,0.004342725879359432,0.6120996441281139,281,281,2818
2013-06-30,0.11807950175754708,0.07154603225800711,0.04989321484128113,0.021652817416725978,0.02049267506797153,0.5800711743772242,281,281,2818
2013-07-31,0.06822092146998791,-0.018087875676760564,-0.014104080503169011,-0.003983795173591553,-0.005184499398943665,0.6003521126760564,284,284,2840
2013-08-31,-0.04226735987608958,0.051318122281625446,0.05390320467985865,-0.002585082398233206,-0.003758227274558294,0.5865724381625441,283,283,2837
2013-09-30,0.11958688726981587,0.04493111860734266,-0.010530009904895105,0.055461128512237765,0.05432476487587413,0.5681818181818181,286,286,2866
2013-10-31,0.13734470699657042,0.04458881682097902,0.02577615245,0.018812664370979018,0.017613363671678317,0.5996503496503497,286,286,2863
2013-11-30,0.04127576313910254,0.027577682838675958,0.022779165700696866,0.004798517137979092,0.003620816789547036,0.5888501742160279,287,287,2873
2013-12-31,-0.02886126600684385,-0.01374042897951389,0.007675620437152777,-0.021416049416666666,-0.022502854972222222,0.5434027777777778,288,288,2887
2014-01-31,0.055268382359318656,0.044006372905190314,0.03987042941730104,0.004135943487889274,0.002942171861591696,0.5968858131487889,289,289,2899
2014-02-28,0.18486151744377768,0.025101213464137934,-0.025087125621034483,0.050188339085172416,0.04908144253344828,0.553448275862069,290,290,2901
2014-03-31,0.12995052920393027,-0.007072923624827586,-0.053570824383793104,0.04649790075896552,0.04536341800034483,0.5672413793103448,290,290,2901
2014-04-30,0.07410578893244486,0.020098280634027778,-0.014043208466319445,0.03414148910034722,0.032901905767013885,0.6197916666666667,288,288,2889
2014-05-31,-0.010261157341755629,0.04216353571868512,0.0689691894615917,-0.026805653742906575,-0.027975203915916957,0.5847750865051903,289,289,2891
2014-06-30,0.1591344210160708,-0.02275755689828179,-0.0619938146024055,0.039236257704123714,0.038078182102749145,0.5790378006872852,291,291,2917
2014-07-31,0.1384572370527155,0.055781979876975946,0.03220930243333334,0.02357267744364261,0.02236305545051546,0.604810996563574,291,291,2911
2014-08-31,0.01601840528440502,-0.0418013065739726,-0.05494151700068494,0.013140210426712338,0.011989525495205489,0.5753424657534246,292,292,2923
2014-09-30,0.08541688862585393,0.03833363817206896,0.028168011290344824,0.010165626881724135,0.009103557916206893,0.5310344827586206,290,290,2905
2014-10-31,0.15803407775231698,0.007166629763072413,-0.01588031110344828,0.02304694086652069,0.021867630521693104,0.5896551724137931,290,290,2907
2014-11-30,-0.06760756989104978,-0.009448106974226803,0.028026299602749136,-0.03747440657697594,-0.038553444377663226,0.5395189003436427,291,291,2910
2014-12-31,0.10323678279590058,-0.03172162445570934,-0.04171378119515571,0.009992156739446367,0.008974855701384083,0.5086505190311419,289,289,2898
2015-01-31,0.14291638301549556,0.08229370162395834,0.062112252262152765,0.020181449361805576,0.018976588250694464,0.6024305555555556,288,288,2881
