feature,gain,gain_norm,weight,cover
f297,4.374277663609338,0.004843383730866234,11.603174603174605,103838.29972694034
f256,4.367617878259397,0.005151416730312421,12.009803921568627,107922.638738894
f315,4.312652730941773,0.0047609003218226946,23.933333333333334,186707.5712890625
f294,4.312088175253435,0.005049487912103913,11.424242424242424,110448.83884493512
f311,4.310994013907417,0.004931991633357548,22.857142857142858,158425.14970858136
f287,4.299418730613513,0.0049960431445740154,15.217948717948719,144642.4969130296
f307,4.247591190867954,0.004690480579812981,18.19047619047619,137440.96061197916
f295,4.2405835049492975,0.004995637579042952,11.349206349206348,116020.34470912388
f266,4.215337767865923,0.005140871842035157,14.544444444444444,166008.1729784224
f262,4.150058633149272,0.004955645438407509,14.98989898989899,120587.72181285512
f300,4.136882471315788,0.004466622821330427,12.727272727272727,100167.69985684482
f271,4.085462975776059,0.004881424485106859,20.747126436781613,139816.4789309447
f293,4.019824789917988,0.004625464459613317,8.753623188405797,133748.4256370655
f29,3.992489345868429,0.0052616891164452674,31.09166666666667,123981.22759602864
f298,3.9894628542842283,0.004272164919844773,9.909090909090908,98458.57544870088
f306,3.9620735784371695,0.004511566282367615,21.383333333333333,171920.65177408856
f310,3.9369896934145974,0.0044686808540222904,17.365079365079367,165584.9554191468
f278,3.866329689820607,0.0044887624718836575,12.523809523809524,121694.59928966705
f285,3.832053655459557,0.004584085578735152,14.728395061728394,129777.61623354311
f303,3.7589263291586015,0.004107538225835467,15.50793650793651,105974.54929896763
f265,3.7301879074838427,0.00458481647978041,14.61111111111111,104577.35853814018
f279,3.6927247579608644,0.004324939228640175,13.047619047619047,106647.03316824777
f23,3.6602780212958654,0.00486476419655556,94.2,170705.60450846356
f321,3.629797352684869,0.0041900192600023865,27.933333333333334,150844.50655381946
f263,3.5730415781339007,0.004358503801526309,14.583333333333334,119059.04413414001
f267,3.5529797871907554,0.004411762896860924,18.24137931034483,131778.81927911166
f296,3.4981744705684603,0.004070031145786076,15.920634920634923,95617.17542278956
f253,3.497058894183185,0.004535541607376146,8.936936936936938,83295.5855130376
f264,3.4831095100730973,0.0042421140915234745,16.688172043010756,149581.20755890876
f277,3.4095736700913,0.003995494284734717,19.93103448275862,140692.47719249508
f284,3.3572501606411405,0.0040828294136641815,17.864197530864196,131062.63427282263
f255,3.3501919287222406,0.004160711057704042,13.546296296296298,99528.13228988647
f27,3.3495983292659126,0.004663003449344575,38.483333333333334,133956.59529622394
f261,3.348877429962158,0.004162191711446334,13.71875,104574.09974098206
f233,3.348252085539011,0.005072990432482502,11.632478632478634,123100.75578008145
f251,3.3464081412867497,0.004314877368494371,9.403508771929824,103936.35478665536
f269,3.333488922009523,0.0041779105902434105,16.71264367816092,122108.1540176567
f288,3.332550505797068,0.0038891565485174584,8.958333333333334,109160.19824049209
f304,3.31709389081077,0.0037071753959143756,14.92063492063492,126726.93210565476
f281,3.31486784381631,0.004025570562435133,17.666666666666668,132061.38876907915
f268,3.3057553946286786,0.004018425684451776,22.52873563218391,167662.3023751796
f245,3.3014594933442907,0.004487327910564713,5.912280701754386,88999.43029678077
f220,3.285612647732099,0.004454987184399262,9.133333333333333,94188.97377319336
f237,3.278840550205164,0.005230503642653629,10.859649122807019,98272.2881542005
