feature,category,gain_mean,gain_std,gain_norm_mean,weight_mean,cover_mean,pct_years_active,mean_rank,std_rank
fi_bev,Other,1.9776997963587444,0.8250140153685943,0.0026978816195326323,4.475,40589.642393493654,1.0,157.75,66.26626554075571
corr_1260d,Other,1.9770821068021986,0.2835778002158804,0.0023705022146130166,8.666666666666666,41042.561197916664,0.15,180.66666666666666,53.485200445232195
kz_index,Other,1.9632222723393213,0.5727850154972149,0.0024436243741009925,7.642857142857143,82044.0334123884,0.7,185.42857142857142,78.08040896761662
at_be,Other,1.960625812963203,0.34360661075571564,0.002869312016706536,6.351851851851851,46869.19477900752,0.9,140.63888888888889,64.99105555064713
ebit_sale,Other,1.9564928865840294,0.945927756803365,0.0026854663244117306,3.6068376068376065,38964.649581387515,0.975,159.02564102564102,77.79611923059805
cash_conversion,Other,1.950810306602054,0.15862391058174968,0.0038152272650478166,4.055555555555556,24417.45022922092,0.15,80.0,17.538529014715003
chcsho_12m,Other,1.9503581543763477,0.37289053150811513,0.0027029653591247524,11.6,121370.9700744629,1.0,145.925,42.02342905741499
op_atl1,Other,1.9501182531055652,0.622670385592366,0.0026988604255282892,3.7982456140350878,43900.62756508275,0.95,159.39473684210526,53.01072786566692
ni_be,Other,1.9480023671079563,0.8530182208325825,0.0028732097772759336,4.87037037037037,63364.521739818425,0.9,171.33333333333334,74.18702235373976
inv_gr1,Accruals,1.942119510009371,0.4910271893574058,0.002835214575262096,7.35632183908046,108203.66233948457,0.725,135.86206896551724,51.071885009500534
ret_24_1,Momentum,1.938288152217865,0.46563724015238644,0.0025981694832829176,12.843137254901961,65606.04735131358,0.85,150.64705882352942,52.670434667439764
book_equity,Other,1.937232385079066,0.5239630536036767,0.00269950823511146,7.191666666666667,50181.15822347005,1.0,158.725,70.3321743129682
ebitda_sale,Quality,1.9290443658828735,0.3184982717945744,0.002775125044390176,5.306306306306307,74201.99159804336,0.925,155.45945945945945,58.494821515619186
eqnpo_gr3a,Other,1.9286379902451125,0.22788714276510408,0.0022660591468031334,5.814814814814814,122855.80022063077,0.225,186.11111111111111,57.361669354291905
rec_gr3a,Other,1.9281233590945863,0.5380466100970263,0.002209217349208663,7.473684210526316,152210.14709365577,0.475,168.6315789473684,65.83245613450676
at_gr1,Other,1.9221865306297938,0.7666334977982432,0.002605123978424595,4.558333333333334,57032.73111572266,1.0,166.5,66.71447004076785
caliq_cl,Other,1.9171659263790162,0.46897447427131556,0.0027325477437302,6.504273504273504,38529.19848319812,0.975,143.12820512820514,47.982551372007535
opex_at,Other,1.9133258889118832,0.36096183862622766,0.0027663213525046327,5.95,33860.46949666341,1.0,152.125,70.54119999997093
ncoa_gr1a,Other,1.9129620492458344,0.7137503595128564,0.0025732681153133475,4.55,98569.01446253459,1.0,155.85,65.28224716469093
capx_gr3a,Other,1.9115352290017265,0.18330216795959173,0.002247889265333057,12.904761904761907,102264.8232421875,0.175,200.28571428571428,53.443784439709134
intan_gr3a,Other,1.9079702099164328,0.10697558550590562,0.0023043511633411,12.166666666666666,95429.48177083334,0.05,181.5,33.23401871576773
