eom,ic_pearson,ic_spearman,alpha,n_nonzero,n_active,n_total_cols,n_train,long_ret,short_ret,qspread,net_qspread,turnover,n_long,n_short,n_universe
2007-11-30,0.04248644919545862,0.04273526864057786,0.0011680704420312452,9,36,320,226801,-0.0069580532284179274,-0.011982396722408965,0.005024343493991038,0.0035957720654196095,0.7142857142857142,357,357,3572
2007-12-31,-7.615614650039512e-17,,0.005587968260670661,0,45,320,226435,-0.027710579627247194,-0.04529029933174157,0.017579719704494377,0.015796011839325837,0.8918539325842696,356,356,3566
2008-01-31,-3.83739084678186e-18,,0.005101733452477622,0,31,320,226072,-0.019990407740168536,-0.019460993891011236,-0.0005294138491572994,-0.000605256545786513,0.03792134831460675,356,356,3562
2008-02-29,1.6579185666189354e-17,,0.004717289749051985,0,34,320,225708,-0.010553761817231638,-0.018568543463276837,0.008014781646045199,0.007944160177118645,0.035310734463276816,354,354,3547
2008-03-31,4.5033076806650425e-17,,0.0042623167449557875,0,31,320,225346,0.02558783518895184,0.027509196950141646,-0.0019213617611898055,-0.0019723532626062363,0.025495750708215303,353,353,3536
2008-04-30,0.07672204306880696,0.08433194085640498,0.0005855329813311601,16,27,320,224992,0.03793316836363637,0.021043423984090908,0.01688974437954546,0.015068721652272733,0.9105113636363636,352,352,3525
2008-05-31,0.1122688346595974,0.12184661668385033,0.000852526724306284,14,31,320,224658,-0.05462557288238636,-0.10201955389119317,0.04739398100880681,0.04687409464517045,0.2599431818181818,352,352,3520
2008-06-30,-0.1000821720204293,-0.09685624216148456,0.0007747642397850842,14,32,320,224299,-0.026644725301877142,0.022740157655142857,-0.049384882957019996,-0.049653454385591426,0.13428571428571429,350,350,3509
2008-07-31,-0.042646448826871144,-0.025010157934809055,0.000629221502225662,13,28,320,223943,0.022646814708309454,0.03319177045873926,-0.010544955750429803,-0.0112612881286533,0.35816618911174786,349,349,3496
2008-08-31,-0.08843609840564731,-0.11944342774023903,5.109146636281273e-05,22,25,320,223567,-0.13357749320372495,-0.11404973205787965,-0.0195277611458453,-0.02017532561575934,0.3237822349570201,349,349,3490
2008-09-30,0.012900960487190258,-0.03352529009531471,0.00036284363471383337,12,27,320,223210,-0.20101605406628242,-0.22727480230835737,0.026258748242074942,0.026068546512968315,0.09510086455331412,347,347,3476
2008-10-31,-0.00736402850347936,0.01316468638771808,0.00043703075904758784,8,28,320,222841,-0.12707304724115942,-0.13461868171942032,0.007545634478260899,0.006847083753623218,0.34927536231884054,345,345,3454
2008-11-30,-0.0236784563993296,0.03595184540069549,0.0005063468843246101,8,32,320,222457,0.03874469980116958,0.060298026408187134,-0.021553326607017552,-0.02234280029122808,0.39473684210526316,342,342,3427
2008-12-31,-0.04735846374766499,-0.0024269908835161556,0.000570387997517134,7,36,320,222040,-0.04455648061026393,-0.018424750550439885,-0.026131730059824047,-0.026442580499706745,0.15542521994134895,341,341,3416
2009-01-31,0.04599887898464771,0.06937135745011028,0.00045035689181632436,9,46,320,221613,-0.1105079744233918,-0.12599273321315788,0.015484758789766073,0.014698209082163734,0.3932748538011696,342,342,3422
2009-02-28,-0.08701863466657354,-0.05540823638826517,0.000468949320336989,7,44,320,221191,0.08077039312692308,0.10665315097751481,-0.02588275785059173,-0.026054355483727823,0.08579881656804733,338,338,3387
2009-03-31,-0.12890563683665918,-0.08955674253381897,0.0005078798160053828,8,37,320,220735,0.14585316203141993,0.2316721022794562,-0.08581894024803627,-0.08608178012719035,0.13141993957703924,331,331,3315
2009-04-30,-0.03128984611094397,-0.01839110239038065,0.0005678332303028297,6,32,320,220215,0.06466784755535715,0.11197641359821431,-0.04730856604285716,-0.04824606604285716,0.46875,336,336,3369
2009-05-31,0.054213336995798625,0.09158271438738648,0.0011454679420062472,3,25,320,219759,0.026044292360650884,-0.0003852956218934908,0.026429587982544377,0.02558343413639053,0.4230769230769231,338,338,3387
2009-06-30,0.02988802862361202,0.08887644300576894,0.0013592488608996313,1,21,320,219329,0.09344594012573965,0.06085732251272189,0.032588617613017755,0.03199986021656805,0.2943786982248521,338,338,3386
2009-07-31,0.04570796410813041,0.03123557660771703,0.0013675983524758096,4,20,320,218900,0.05780324152403561,0.04955063733353116,0.00825260419050445,0.007234800036201779,0.5089020771513353,337,337,3373
2009-08-31,0.03132747006890812,0.10844554505547604,0.0004789234030500275,4,19,320,218465,0.053608974131065086,0.06696217976213018,-0.013353205631065089,-0.013539596163609467,0.09319526627218938,338,338,3389
2009-09-30,0.08097312982806673,0.030353464125248936,0.0008588628881781124,3,21,320,218052,-0.03073105526893491,-0.05983066035147929,0.02909960508254438,0.02875936839615385,0.17011834319526625,338,338,3388
2009-10-31,-0.004006999330171417,0.0054395741572798055,0.0005074572223965294,4,20,320,217640,0.02905963050712166,0.03341789328694361,-0.004358262779821952,-0.0045422390409495484,0.09198813056379823,337,337,3374
2009-11-30,2.272373835202223e-06,0.12096938729036616,0.0006174444521428697,3,20,320,217219,0.053050893155654755,0.021637111753273805,0.03141378140238095,0.030684614735714284,0.36458333333333337,336,336,3362
2009-12-31,-0.01043390004608061,-0.07526643091827268,0.0008963869237436131,2,20,320,216777,-0.006264981897014926,0.022968483356417907,-0.029233465253432834,-0.029328987641492537,0.047761194029850795,335,335,3354
2010-01-31,0.031167426825385907,0.04015622551407663,0.0005462126294456494,4,17,320,216318,0.04473533137283583,0.044553664506865674,0.0001816668659701537,-0.000621318208656712,0.4014925373134328,335,335,3359
2010-02-28,0.05373317512026063,0.04195059038315498,0.0009145159984276582,4,16,320,215866,0.09071025158168168,0.06682879923153154,0.023881452350150142,0.023677248145945937,0.10210210210210213,333,333,3339
2010-03-31,0.018940180519988088,0.01520745311897879,0.0009961542128876517,3,15,320,215386,0.08911525450059879,0.05734683656077845,0.03176841793982034,0.03149296883802393,0.13772455089820357,334,334,3342
2010-04-30,0.04399937336193088,0.0007487492962675548,0.0006899893228903475,3,15,320,214916,-0.06319920463652694,-0.07266267433263472,0.009463469696107785,0.008987421791916169,0.23802395209580834,334,334,3347
2010-05-31,-0.010848079767264615,-0.06931095565114863,0.0006180482605165272,3,15,320,214464,-0.07500282736616766,-0.048766380730838325,-0.026236446635329334,-0.026365189150299395,0.06437125748502992,334,334,3344
2010-06-30,0.02425925784162703,0.051554460885227055,0.0005354631542908985,3,15,320,214015,0.05839805484264265,0.04909482816786787,0.009303226674774775,0.009150073521621623,0.07657657657657657,333,333,3339
2010-07-31,0.03440836816538609,-0.08335209099762074,0.0005820620930395756,3,17,320,213558,-0.0847801938141141,-0.04925865305135135,-0.035521540762762746,-0.03582784706906905,0.15315315315315314,333,333,3333
2010-08-31,0.11826664367941019,0.23050367553367862,0.000496798092552319,3,13,320,213096,0.1198890248942771,0.06729340981807229,0.052595615076204805,0.05255947049789155,0.01807228915662651,332,332,3323
2010-09-30,0.04627242942583611,0.06614249712285114,0.0006034938940425337,3,15,320,212624,0.0435041403489426,0.03792392424259819,0.005580216106344411,0.005553025774018127,0.013595166163141992,331,331,3317
2010-10-31,0.0880215978386623,0.1440133894343065,0.000611961450031596,3,14,320,212154,0.046675258397885194,0.014277373890936555,0.03239788450694864,0.03209576970332326,0.15105740181268884,331,331,3318
2010-11-30,-0.012774801726235716,-0.020110143263468928,0.0006201273905656916,3,15,320,211688,0.06945771598030304,0.07074552895969698,-0.0012878129793939402,-0.0014150857066666676,0.06363636363636366,330,330,3309
2010-12-31,-0.021247856024389843,-0.044775833312059456,0.0006678703928109481,3,14,320,211214,0.0007279084042424247,0.009212385112727272,-0.008484476708484847,-0.008532961556969695,0.024242424242424288,330,330,3302
2011-01-31,0.017069404444095167,0.010852862271977938,0.0003498582312295037,9,19,320,210745,0.04665796631424243,0.0509493159939394,-0.004291349679696965,-0.00460650119484848,0.15757575757575754,330,330,3307
2011-02-28,0.06828631362262988,0.10140915306645595,0.0003959010527576135,10,20,320,210291,0.011281278039696967,-0.003516027136969697,0.014797305176666664,0.014709426388787876,0.043939393939393945,330,330,3301
2011-03-31,0.059934027268543896,0.05658008403226934,0.0003427613554199852,11,22,320,209833,0.030151685259270512,0.009256293227999392,0.02089539203127112,0.020202382912730087,0.34650455927051677,329,329,3296
2011-04-30,0.04459586957020224,0.03624147856570856,0.00038841216305896735,11,23,320,209387,-0.009406086366666667,-0.029667946429999998,0.02026186006333333,0.019725496426969694,0.26818181818181813,330,330,3301
2011-05-31,0.022608259890163813,0.05255858507929421,0.0012578945034245528,5,18,320,208941,-0.012449795673252278,-0.027612062451975686,0.015162266778723408,0.01452092939270517,0.32066869300911854,329,329,3293
2011-06-30,0.00018353096592201712,-0.04363503689875811,0.0002801601293907027,10,20,320,208480,-0.02590071156850153,-0.02739835225779817,0.0014976406892966386,0.0009288333498470973,0.28440366972477066,327,327,3274
2011-07-31,0.04903740358025523,-0.022862120855163308,0.00038688518675325805,8,19,320,208008,-0.07721088827197982,-0.06379831556055046,-0.013412572711429357,-0.01375202225271376,0.16972477064220182,327,327,3277
2011-08-31,-0.003164512748754975,-0.011145796737471413,0.00040085345528912677,8,22,320,207547,-0.08078076187607361,-0.0858930720059417,0.005112310129868097,0.004458935896739263,0.3266871165644172,326,326,3266
2011-09-30,0.04298767559014972,0.10546200243336988,0.00046348414195404353,9,22,320,207087,0.11932131718067485,0.08988209397760737,0.02943922320306748,0.02918155449141104,0.12883435582822084,326,326,3263
